code,municipality,orgcomp,manure,covercrop,croprot,apm,diverse,straw,famlab,lowincome,associated,regtech,credit,offfarminc
4206009,Governador Celso Ramos ,31.82,100,1.05,9.68,3.23,10,3.23,56.06,42.86,30.65,22.58,8.06,62.9
4206108,Grao Para ,0.35,30.44,1.23,8.51,0.56,16.8,5.72,69.13,21.83,69.6,9.07,32.36,23.29
4206207,Gravatal ,27.03,71.28,0.24,19.29,8.61,10.33,0.23,93.28,45.12,42.14,6.77,6.43,52.01
4206306,Guabiruba ,2.56,76.92,1.41,14.81,0,8.33,.,47.22,47.22,18.52,7.41,0,14.81
4206405,Guaraciaba ,4.71,41.53,6.67,47.74,15.54,48.5,79.94,77.08,39.02,66.17,24.29,68.29,17.94
4206504,Guaramirim ,3.28,25.06,30.4,3,8.31,7.17,0.23,84.62,29.78,43.19,15.47,30.72,21.94
4206603,Guaruja do Sul ,4.48,69.06,2.46,37.03,29.49,35.28,66.74,63.5,48.3,53.66,20.18,45.45,29.49
4206652,Guatambu ,7.86,75.34,28.32,40.95,33.71,44.13,37.78,89.8,45.75,70.14,37.78,42.76,15.84
4206702,Herval dOeste ,1.19,18.57,6.59,7.26,2.82,26.17,79.84,94.89,24.61,69.56,33.27,54.23,8.47
4206751,Ibiam ,19.54,46.03,0,30.86,7.1,34.12,71.91,86.61,35.29,77.47,28.4,40.74,18.52
4206801,Ibicare,0,32.88,24.79,10.82,29.39,28.57,62.24,90.48,40.19,59.39,26.94,38.98,26.12
4206900,Ibirama ,1.23,71.6,0.54,6.89,5.25,26.75,25.57,75.32,30.57,41.64,10.16,13.44,27.21
4207007,Icara ,2.94,32.51,28.61,5.29,4.57,13.32,5.56,60.3,30.57,23.84,29.66,31.27,15.14
4207106,Ilhota ,16.13,31.72,1.55,10.71,5.36,4.12,1.79,81.89,23.46,13.84,10.71,10.71,25
4207205,Imarui,0.69,48.11,0.69,12.25,3.75,12.33,4.75,92.6,33.33,17.63,16.88,6,16.75
4207304,Imbituba ,15.38,38.46,0.35,16.22,2.7,9.82,0.9,89.72,38.39,12.61,11.71,6.31,20.72
4207403,Imbuia ,0.16,5.49,1.38,17.52,2.11,17.66,1.51,64.5,23.44,87.61,43.96,54.53,17.82
4207502,Indaial ,18.12,80.43,60.87,12.08,22.11,17.03,2.57,94.76,38.93,17.74,11.83,5.91,30.59
4207577,Iomere,0.81,86.29,3.47,11.57,0,16.46,25.52,94.48,32.62,24.04,35.01,17.51,7.72
4207601,Ipira ,32.61,53.98,2.51,37.29,18.14,39.55,59.29,84.5,50.35,70.43,18.14,47.14,15.29
4207650,Ipora do Oeste ,4.49,77.12,0.39,48.1,30.97,31.26,68.82,51.34,31.56,68.21,35.9,70.77,14.77
4207684,Ipuacu ,24.46,41.13,40.5,41.55,37.68,27.2,56.01,69.22,41.88,62.32,38.49,42.57,13.03
4207700,Ipumirim ,7.88,85.48,42.54,59.89,17.87,33.37,59.78,84.36,39.45,73.6,47.3,58.88,21.35
4207759,Iraceminha ,17.43,41.14,1.68,40.05,23.19,60.13,75.36,87.58,33.33,73.25,31.36,67.46,14.49
4207809,Irani ,0.37,83.58,29.67,47.58,38.41,33.6,70.59,79.09,35.69,63.84,32.7,59.17,19.55
4207858,Irati ,20.14,3.41,3.58,43.56,6.03,28.93,74.79,51.77,61.01,51.78,8.22,56.99,20.55
4207908,Irineopolis ,3.53,4.42,0.27,8.56,11.89,18.08,26.31,64.79,31.7,63.55,36.93,43.42,20.05
4208005,Ita,3.27,90.03,54.02,41.6,83.02,31.19,38.54,79.3,42.16,77.08,39.39,50.25,22.41
4208104,Itaiopolis ,0.25,7.07,2.68,9.84,18.76,17.67,23.99,82.61,34.48,56.9,0.05,39.89,18.06
4208203,Itajai,13.57,62.14,40.92,11.38,6.91,13.5,1.63,87.29,22.36,25.2,13.01,11.79,31.71
4208302,Itapema ,31.25,53.13,1.05,0,5.88,20.55,.,82.35,39.73,23.53,38.24,5.88,45.59
4208401,Itapiranga ,1.79,88.6,1.14,54.59,28.65,52.37,57.76,78.74,33.44,76.14,26.25,57.14,20.77
4208450,Itapoa ,40,20,12.23,23.08,30.77,12.5,.,75,50,46.15,7.69,7.69,30.77
4208500,Ituporanga ,2.47,22.72,0,14.06,3.41,18.05,29.23,71.99,21.83,52.26,37.79,57.55,17.33
4208609,Jabora ,1.79,85.86,64.01,52.7,44.71,25.47,85.1,73.91,34.34,72.79,49.03,70.84,16.2
4208708,Jacinto Machado ,2.71,13.23,0.53,3.27,5.89,17.89,7.58,71.5,34.72,72.12,19.64,26.38,18.9
4208807,Jaguaruna ,8.29,43.69,3.84,4.75,15.6,10.66,0.21,90.68,40.74,38.43,8.16,16.01,20.14
4208906,Jaragua do Sul ,5.96,52.69,0.28,7.13,7.13,23.24,5.07,92.88,42.52,24.03,11.96,9.06,22.83
4208955,Jardinopolis ,11.79,26.64,0.63,57.98,57.98,46,63.87,91.18,50.4,68.07,21.85,68.49,5.88
4209003,Joacaba ,1.36,73.53,1.57,37.09,1.95,43.35,71.15,92.24,31.45,75.92,40.56,61.39,25.16
4209102,Joinville ,20.36,48.67,2.38,1.9,6.49,20.94,0.12,93.39,33.72,24.11,7.56,5.65,39.11
4209151,Jose Boiteux ,0.53,43.39,0.46,2.96,1.11,14.51,19.26,80.94,28.32,46.11,6.48,31.85,29.63
4209177,Jupia ,2.68,31.25,32.27,37.92,14.98,40,83.18,58.59,44.51,60.55,3.98,63.91,19.27
4209201,Lacerdopolis ,0,98.37,37.5,7.08,0,21.4,26.55,99.13,18.34,62.39,34.51,43.36,2.21
4209300,Lages ,2.31,21.14,1.28,19.19,12.58,19.97,5.33,82.29,37.31,63.75,9.38,21.11,27.08
4209409,Laguna ,3.57,28.57,0.67,11.86,1.13,2.76,0.19,96.06,38.6,18.27,5.08,3.95,42.18
4209458,Lajeado Grande ,1.88,75,0.17,43.64,12.73,40.78,72.12,75.98,24.02,64.24,39.39,55.76,8.48
4209508,Laurentino ,3.73,40.67,3.21,40.48,41.52,29.25,18.34,89.31,26.53,29.07,57.79,38.75,17.65
4209607,Lauro Muller ,8.35,67.52,43.87,8.67,11.68,20.26,2.83,82.02,33.17,72.21,7.96,18.58,34.69
4209706,Lebon Regis ,3.92,12.75,14.77,13.37,8.33,37.24,21.32,87.58,41.41,50.97,5.04,24.42,25.58
4209805,Leoberto Leal ,12.9,23.91,14.03,1.63,39.67,24.01,32.1,84.31,27.56,72.66,12.33,38.48,6.84
4209854,Lindoia do Sul ,0.16,96.21,58.06,72.8,43.4,28.74,69.81,88.77,30.84,75.31,51.1,65.88,13.21
4209904,Lontras ,0.92,38.11,3.02,16.63,13.18,26.29,21.1,85.69,39.24,51.93,24.95,18.66,21.5
4210001,Luiz Alves ,12.12,36.17,33.21,2.98,12.4,4.91,0.16,87.52,17.79,56.83,12.09,14.76,26.37
4210035,Luzerna ,14.69,27.97,6.28,22.65,1.47,26.33,13.82,84.83,35.85,65.29,27.94,20.29,15.59
4210050,Macieira ,4.62,31.51,0.27,23.11,2.27,47.94,75,91.35,52.06,9.09,19.32,40.53,27.65
4210100,Mafra ,3.6,19.42,0.34,11.95,4.4,27.07,52.71,81.88,31.09,63.2,32.99,53.45,13.71
4210209,Major Gercino ,1.16,6.59,49.6,1.06,29.08,24.24,3.19,76.43,36.7,61.35,60.99,27.66,24.11
4210308,Major Vieira ,1.12,1.96,19.17,8.29,1.18,16.69,22.5,88.89,38.6,32.63,44.61,46.05,7.24
4210407,Maracaja ,2.63,33.68,13.49,4.62,1.68,11.21,1.26,60.47,28.88,34.03,28.15,34.87,15.13
4210506,Maravilha ,17.79,60.43,2.83,43.96,9.96,56.96,72.6,77.23,34.54,77.18,32.1,56.26,15.32
4210555,Marema ,20.33,74.33,35.29,41.09,30.75,28.03,77.87,70.43,31.21,72.41,35.63,67.53,14.08
4210605,Massaranduba ,1.03,29.75,2.66,2.26,6.65,13.04,0.71,88.11,30.95,38.95,13.66,27.55,26.13
4210704,Matos Costa ,6.61,9.09,0.31,8.38,29.61,38.46,0.56,90.14,48.42,45.25,5.03,18.44,58.66
4210803,Meleiro ,0.88,33.43,1.23,5.26,1.05,14.95,13.68,80.25,30.88,85.66,22.63,46.71,26.97
4210852,Mirim Doce ,2.26,43.02,2,43.14,35.79,19.38,40.13,81.33,25.63,59.53,10.7,38.13,59.87
4210902,Modelo ,22.52,31.53,7.34,49.33,35.58,45.25,81.67,77.03,42.74,66.85,22.91,51.75,10.78
4211009,Mondai ,1.27,66.24,16.71,46.6,37.73,60.7,36.26,94.75,40.25,70.94,19.41,53.1,13.1
4211058,Monte Carlo ,7.95,15.89,12.72,5.41,12.84,42.77,32.43,88.61,44.65,48.65,10.14,55.41,43.24
4211108,Monte Castelo ,1.75,20.74,5.45,4.29,12.24,26.87,5.88,83.36,44.74,28.14,14.79,21.3,38.63
4211207,Morro da Fumaca ,1.16,43.35,5.11,8.66,6.06,20.83,9.09,71.16,41.67,49.35,34.2,24.68,35.93
4211256,Morro Grande ,1.41,65.72,5.79,4.81,23.53,17.75,12.3,84.34,20.63,72.19,47.06,40.37,11.5
4211306,Navegantes ,31.11,31.11,8.37,4.23,14.08,16.18,1.41,88.71,41.18,36.62,15.49,11.27,25.35
4211405,Nova Erechim ,6.93,85.15,1.2,64.17,49.51,47.44,78.5,88.89,26.28,78.83,56.68,51.47,11.73
4211454,Nova Itaberaba ,0.65,77.78,9.42,32.27,28.8,50.63,42.26,83.43,45.45,58.9,38.64,51.09,15.63
4211504,Nova Trento ,3.16,21.2,14.55,0.45,6.04,12.2,5.82,95.14,34.2,49.44,12.3,5.37,40.27
4211603,Nova Veneza ,12.27,15.4,8.23,8.29,1.22,16.48,9.76,81.02,24.84,72.2,34.39,42.2,16.34
4211652,Novo Horizonte ,18.14,33.41,1.01,37.54,20.88,39.62,77.02,80.77,46.37,52.98,33.86,56.49,23.33
4211702,Orleans ,2.22,43.07,13.04,9.35,36.41,16.58,6.86,85.2,22.62,67.77,32.5,20.52,35.13
