code,municipality,nochem,usefert ,orgcomp,nitchem,notnitchem,manure,covercrop,innoculents,croprot,apm,noconvtill,directplanting,lowtill ,soil,drip,straw,famlab,lowincome,associated,regtech,credit,offfarminc,diverse
4203105,Caibi ,9.29,83.14,12.36,88.91,0.48,43.42,4.81,0.11,39.11,11.1,61.06,55.45,17.13,60.69,0,48.13,91.64,31.37,84.05,45.08,60.06,8.46,49.45
4203154,Calmon ,89.9,30.52,2.13,86.17,4.26,28.72,12.91,2.38,7.69,1.92,78,22,64.67,43.3,0,11.54,83.69,52.54,14.42,15.87,24.52,24.04,25
4203204,Camboriu,57.76,46.96,4.76,83.67,6.12,35.37,2.6,1.06,9.91,9.48,17.02,3.19,14.89,37.34,22.67,1.29,83.06,33.06,55.17,12.93,8.62,19.83,11.43
4203303,Campo Alegre ,41.04,55.24,3.72,86.5,17.81,2.74,13.27,2.79,12.21,3.26,61.22,17.06,48.47,74.47,0,23.29,88.09,37.18,37.46,10.42,27.36,39.25,23.1
4203402,Campo Belo do Sul ,82.52,71.45,3.28,97.08,2.37,11.5,1.3,0.98,6.8,4.58,78.62,92.58,6.71,51.14,0,8.46,84.78,43.88,47.02,4.99,33.01,19,28.3
4203501,Campo Ere,32.96,71.67,14.95,93.35,26.04,26.13,6.13,0,27.46,9.05,80.3,80.84,2.76,62.54,100,68.01,82.44,57.58,61.71,22.46,48.3,23.1,43.73
4203600,Campos Novos ,36.24,50.92,12.23,83.45,43.88,59.71,5.25,12.44,29.34,4.81,17.83,11.63,9.3,86.9,7.69,60.58,84.05,40.51,47.77,21.8,44.05,15.71,31.39
4203709,Canelinha ,78.33,87.43,1.57,98.27,13.54,4.25,3.66,0,9.17,11.67,20.11,28.6,8.09,64.32,41.67,6.25,91.08,41.12,60.42,7.08,6.67,40.42,21.5
4203808,Canoinhas ,15.8,50.3,9.06,77.56,39.76,40.16,32.83,2.74,6.7,11.1,19.22,7.12,17.44,85.73,32.26,21.29,74.54,30.13,63.59,48.48,43.73,13.45,18.72
4203253,Capao Alto ,88.4,72.12,3.16,96.28,4.46,24.91,1.6,0,4.39,1.25,34.46,33.71,10.36,42.13,.,1.57,71.62,36.6,52.04,12.23,14.42,29.15,20.42
4203907,Capinzal ,46.39,68.72,10.48,74.25,6.89,64.07,0.59,3.15,26.29,21.13,81.45,49.37,46.23,46.43,0,33.51,82.46,41.92,52.06,26.55,38.92,22.42,31.62
4203956,Capivari de Baixo ,94.2,22.97,14.71,38.24,14.71,50,1.44,0.6,17.39,2.17,66.67,5.56,61.11,16.94,0,0.72,92.86,27.86,2.17,26.09,3.62,32.61,5
4204004,Catanduvas ,64.38,54.17,7.69,59.62,6.73,66.35,0.68,0,20.55,6.85,94.59,38.74,57.66,54.93,0,21.23,93.62,39.44,56.85,35.62,30.82,17.12,21.83
4204103,Caxambu do Sul ,23.09,63.87,15.91,79.14,0.43,65.81,1.56,0,30.3,30.3,85.42,88.51,1.54,88.56,40,71.28,79.32,38.83,76.77,22.37,54.69,12.84,44.99
4204152,Celso Ramos ,68.33,60.8,14.71,96.32,10.78,20.59,9.89,0.43,16.4,14.15,23.02,31.83,2.93,74.79,54.55,21.06,88.24,53.64,76.53,2.57,43.73,36.5,38.18
4204178,Cerro Negro ,49.84,69.68,4.59,90.02,11.78,2.59,13.86,0,23.15,3.54,63.35,25.09,53.91,91.05,0,18.81,75.28,58.85,79.58,33.6,40.03,13.83,43.79
4204194,Chapadao do Lageado ,4.82,95.08,0,99.81,0.38,18.01,1.81,0,3.08,0,30.61,34.79,14.83,97.9,2.17,33.14,64.23,28.82,64.74,32.76,45.09,22.93,12.4
4204202,Chapeco ,58.54,63.87,9.61,52.96,4.35,79.47,27.32,0,28.09,12.44,67.55,57.09,17.87,64,33.33,37.31,73.87,45.07,49.13,21.66,33.17,31.44,32.03
4204251,Cocal do Sul ,63.21,59.59,0.68,86.3,2.74,77.4,14.94,0.9,15.57,5.19,3.27,5.88,5.88,55.71,8.33,3.77,78.57,51.18,13.68,7.08,7.55,39.62,29.86
4204301,Concordia ,23.32,87.07,21.02,73.26,6.42,72.63,8.16,0,42.56,40.14,76.33,77.73,11.05,78.14,17.86,66.87,82.34,37.21,78.81,31.73,52.99,19.02,44.86
4204350,Cordilheira Alta ,62.47,49.78,1.33,42.67,0,80.44,16.39,0.26,43.59,27.04,67.25,28.92,39.37,69.02,100,17.02,96.81,42.82,42.66,30.3,44.29,7.23,22.55
4204400,Coronel Freitas ,34.39,79.89,23.61,61.31,6.76,71.18,3.54,0,48.81,41.45,73.38,71.63,10.88,75.14,50,53.28,73.63,34.55,57.65,35.88,56.76,16.4,29.95
4204459,Coronel Martins ,12.18,85,5.43,93.21,25.57,56.79,12.4,0.22,52.14,72.44,96.7,96.29,9.69,94.64,.,89.74,49.69,59.06,78.63,7.26,67.74,26.28,28.92
