code,municipality,nochem,usefert ,orgcomp,nitchem,notnitchem,manure,covercrop,innoculents,croprot,apm,noconvtill,directplanting,lowtill ,soil,drip,straw,famlab,lowincome,associated,regtech,credit,offfarminc,diverse
4218400,Treze de Maio ,22.17,83.93,4.52,92.29,5.05,47.61,15.85,0,9.2,7.08,17.89,15.45,25.2,77.65,4.17,12.74,85.11,35.4,70.99,18.63,37.03,20.75,23.91
4218509,Treze Tilias ,21.74,82.84,36.49,96.85,1.8,77.03,15.3,1.35,50.43,4.78,99.09,98.63,0.91,9.01,.,83.04,89.67,20.66,65.65,21.74,39.57,13.91,23.55
4218608,Trombudo Central ,32.26,78.8,5.62,84.74,6.02,61.04,22.78,0,16.49,7.17,16.23,22.37,8.77,83.27,39.39,16.85,84.89,36.88,44.44,12.19,26.16,25.81,21.99
4218707,Tubarao ,69.17,43.83,11.68,85.93,8.08,45.51,3.41,0.9,13.33,4.5,48,1.82,50.55,24.66,8.51,0.83,91.28,42.34,26.33,5.83,8,22.5,12.5
4218756,Tunapolis ,11.06,94.03,1.7,94.89,3.87,84.37,16.16,0.15,61.21,29.28,82.66,72.14,41.18,64.21,20,68.54,83.63,32.58,75.55,49.84,63.4,24.61,48.8
4218806,Turvo ,13.79,87.06,11.49,98.14,22.8,25.17,2.94,0,1.64,18.56,15.58,5.03,27.3,73.6,0,4.76,57.83,23.06,80.62,42.53,49.43,26.27,11.7
4218855,Uniao do Oeste ,14.07,82.36,0.64,87.58,0.43,59.1,6,0.43,35,73.7,83.88,80.58,23.35,87.17,0,69.44,88.89,49.82,58.52,33.33,56.48,12.96,50.54
4218905,Urubici ,48.71,61.76,1.65,92.31,56.78,11.36,5.54,1.28,16.74,4.11,5.45,3.31,5.25,63.76,12.93,1.98,93.19,38.72,56.93,22.22,24.35,20.7,16.69
4218954,Urupema ,39.25,67.01,4.26,97.67,17.83,7.36,0.26,2.33,12.45,7.55,8.37,1.32,8.37,48.73,0,0.75,74.77,28.75,68.68,24.53,39.25,14.34,14.98
4219002,Urussanga ,59.37,54.49,2.04,90.65,2.04,49.15,2.5,0,4.5,6.24,26.94,3.04,32.64,51.67,10.34,1.54,90.64,37.78,61.31,18.22,10.54,26.71,29.93
4219101,Vargeao ,22.69,77.58,3.91,95.31,2.34,30.08,1.52,1.17,40,20.77,82.97,81.16,2.17,90.07,50,66.54,76.41,42.11,77.69,39.62,60.38,15,31.58
4219150,Vargem ,32.39,63.26,0.23,98.41,1.59,1.82,1.3,0.23,20.35,7.79,76.39,84.26,3.01,82.92,.,52.21,85.69,55.91,58.76,9.38,45.13,29.2,35.75
4219176,Vargem Bonita ,40.1,31.7,19.72,28.17,1.41,73.24,0,0,30.69,8.42,87.5,64.42,25,74.07,.,29.21,95.79,20.83,45.54,17.82,42.57,10.89,3.7
4219200,Vidal Ramos ,5.44,94.95,1.66,98.56,9.87,6.98,34.53,0,10.3,11,51.89,12.4,49.6,92.99,2.35,11.11,70.99,25.93,49.88,27.89,40.28,7.75,14.77
4219309,Videira ,19.95,81.53,18.86,93.08,20.9,78.97,26.77,0.41,42.24,16.95,90.41,87.81,5.34,84.3,37.14,72.75,86.21,28.43,67.28,44.2,42.24,16.04,34.93
4219358,Vitor Meireles ,22.99,77.31,4.13,98.01,42.17,23.79,52.75,0.28,19.84,33.02,45.56,27.51,45.27,76.05,0,21,69.13,26.27,46.91,42.82,44.69,17.15,19.91
4219408,Witmarsum ,16.43,88.1,1.37,99.61,41.1,38.16,62.07,0,24.44,33.88,20.69,41.78,21.7,85.45,0,36.96,70.44,30.45,67.56,37.58,49.69,18.28,24.14
4219507,Xanxere ,40,72.78,6.11,83.59,4.96,66.03,5.83,2.1,25.61,5.96,94.18,93.17,5.42,76.83,18.18,67.89,85.55,33.28,54.21,20,38.25,24.39,27.02
4219606,Xavantina ,21.36,92.22,0,82.36,0,90.64,0.99,0,49.24,5,96.27,91.69,5.59,24.59,50,78.03,92.17,26.99,73.48,38.94,77.73,8.03,34.81
4219705,Xaxim ,35.31,77.13,4.61,78.76,3.41,77.25,6.88,0.2,34.74,7.37,83.08,63.76,32.1,67.75,20,44.88,87.47,40.3,76.27,27.66,42.2,23.54,34.06
4219853,Zortea ,50.42,57.8,2,82,2,64,0.58,0,22.69,14.29,85.95,76.86,9.92,69.13,.,57.14,44.74,18.49,21.01,14.29,16.81,57.8,40.79
